FIPS,YPLL
51735,6484
51730,18804
51720,12072
51710,9578
51700,8416
51690,14841
51685,
51683,6013
51680,7765
51678,
51670,14938
51660,5335
51650,8713
51640,16530
51630,7836
51620,18126
51610,5156
51600,6001
51595,9603
51590,12927
51580,17906
51570,10793
51550,6793
51540,5400
51530,
51520,13267
51510,3611
51199,4465
51197,8988
51195,12425
51193,8482
51191,8554
51187,8574
51185,11577
51183,10767
51181,10737
51179,5388
51177,6821
51175,7695
51173,11052
51171,6210
51169,9242
51167,10899
51165,5658
51163,6616
51161,7076
51159,10136
51157,
51155,8953
51153,4705
51149,5920
51147,8892
51145,5864
51143,9121
51141,9908
51139,8480
51137,8519
51135,8976
51133,6965
51131,9837
51127,6874
51125,8219
51121,5709
51119,8680
51117,11894
51115,7585
51113,8401
51111,9946
51109,7908
51107,3349
51105,9835
51103,9860
51101,7964
51099,7422
51097,9898
51095,5895
51093,6418
51091,
51089,9336
51087,6577
51085,5951
51083,10423
51081,9601
51079,6063
51077,9133
51075,5755
51073,9000
51071,9516
51069,6448
51067,8300
51065,6344
51063,7313
51061,6727
51059,3509
51057,10160
51053,8184
51051,10851
51049,7283
51047,7700
51045,
51043,7437
51041,6397
51037,10276
51036,11457
51035,7267
51033,8638
51031,7451
51029,7454
51027,12359
51025,10785
51023,5716
51021,7081
51019,7384
51017,
51015,5801
51013,2789
51011,8718
51009,7514
51007,10422
51005,8809
51003,4277
51001,9630
51000,6411
50027,6284
50025,8031
50023,6349
50021,8014
50019,7987
50017,6398
50015,5347
50013,4491
50011,6700
50009,9983
50007,5030
50005,7334
50003,8033
50001,4188
50000,6292
49057,6872
49055,
49053,6165
49051,4855
49049,5126
49047,8539
49045,6724
49043,3959
49041,7059
49039,6072
49037,11251
49035,6378
49033,
49031,
49029,4981
49027,6312
49025,6546
49023,7695
49021,7070
49019,9306
49017,11278
49015,8763
49013,9249
49011,5091
49009,
49007,10052
49005,4928
49003,6485
49001,7508
49000,6032
48507,8926
48505,7996
48503,10209
48501,7149
48499,8653
48497,8352
48495,10591
48493,6707
48491,4458
48489,8421
48487,8478
48485,9254
48483,10618
48481,8482
48479,6027
48477,6929
48475,10885
48473,6657
48471,6788
48469,7556
48467,9125
48465,6683
48463,6928
48461,7760
48459,10485
48457,10513
48455,12811
48453,4618
48451,7522
48449,7249
48447,
48445,9487
48443,
48441,9392
48439,6413
48437,9446
48435,
48433,
48431,
48429,9722
48427,6697
48425,8676
48423,7398
48421,
48419,10077
48417,
48415,7197
48413,
48411,7928
48409,8714
48407,10045
48405,13405
48403,12162
48401,8624
48399,7076
48397,4692
48395,10509
48393,
48391,8973
48389,8349
48387,11537
48385,
48383,
48381,6821
48379,8895
48377,5107
48375,10384
48373,10707
48371,6161
48369,7609
48367,6627
48365,10292
48363,9446
48361,10658
48359,
48357,6706
48355,7844
48353,9814
48351,10057
48349,9241
48347,8104
48345,
48343,12482
48341,7755
48339,5920
48337,10056
48335,9903
48333,9013
48331,9286
48329,7022
48327,
48325,6910
48323,6970
48321,9897
48319,
48317,11636
48315,12439
48313,9957
48311,
48309,7299
48307,8464
48305,9193
48303,8347
48301,
48299,8688
48297,7365
48295,
48293,9745
48291,10089
48289,11167
48287,8048
48285,6554
48283,7939
48281,6658
48279,9657
48277,9637
48275,11714
48273,9351
48271,
48269,
48267,
48265,7993
48263,
48261,
48259,5513
48257,7519
48255,7144
48253,9271
48251,7590
48249,9439
48247,8178
48245,9535
48243,
48241,10143
48239,8576
48237,9292
48235,
48233,9201
48231,9083
48229,
48227,10182
48225,9538
48223,8563
48221,7930
48219,8549
48217,9032
48215,5609
48213,11017
48211,7540
48209,5090
48207,8411
48205,
48203,9278
48201,6510
48199,9708
48197,10279
48195,7871
48193,10017
48191,
48189,7301
48187,6485
48185,9114
48183,9483
48181,8891
48179,9880
48177,8169
48175,10024
48173,
48171,6814
48169,5329
48167,7620
48165,6046
48163,7777
48161,8472
48159,8661
48157,4345
48155,
48153,6898
48151,
48149,6818
48147,10505
48145,8179
48143,6740
48141,5972
48139,6614
48137,
48135,9475
48133,8287
48131,11679
48129,
48127,7766
48125,
48123,8228
48121,4350
48119,13278
48117,7894
48115,9353
48113,6851
48111,8131
48109,
48107,10117
48105,9709
48103,7137
48101,
48099,7103
48097,8291
48095,
48093,8215
48091,5752
48089,8144
48087,
48085,4192
48083,10396
48081,
48079,13380
48077,7851
48075,8947
48073,9638
48071,7237
48069,7875
48067,9286
48065,6897
48063,9970
48061,6293
48059,8864
48057,7461
48055,8696
48053,6882
48051,8224
48049,9384
48047,8971
48045,
48043,8208
48041,4878
48039,6206
48037,9530
48035,9705
48033,
48031,6887
48029,6963
48027,7307
48025,8267
48023,11359
48021,7880
48019,7556
48017,9062
48015,7371
48013,7754
48011,
48009,8253
48007,8770
48005,8914
48003,7138
48001,10927
48000,6651
47189,7063
47187,4094
47185,10250
47183,9602
47181,9776
47179,9375
47177,9975
47175,11927
47173,11042
47171,11921
47169,10395
47167,9869
47165,7447
47163,9533
47161,10488
47159,10377
47157,10312
47155,9616
47153,9024
47151,13263
47149,7214
47147,8553
47145,10808
47143,10664
47141,8904
47139,10839
47137,8874
47135,12483
47133,10101
47131,8760
47129,11882
47127,7124
47125,8745
47123,10595
47121,11908
47119,8509
47117,8983
47115,10881
47113,9934
47111,11417
47109,11732
47107,11397
47105,9454
47103,10980
47101,11510
47099,11065
47097,11346
47095,11243
47093,9063
47091,12429
47089,9384
47087,9978
47085,10847
47083,11208
47081,10729
47079,10376
47077,10317
47075,11519
47073,10194
47071,12917
47069,10318
47067,16551
47065,8534
47063,10117
47061,13079
47059,10938
47057,10311
47055,10147
47053,10784
47051,9255
47049,10798
47047,8054
47045,11277
47043,10407
47041,11778
47039,8881
47037,8404
47035,9915
47033,10580
47031,10315
47029,14176
47027,13807
47025,11589
47023,7781
47021,10215
47019,9602
47017,10179
47015,11229
47013,13905
47011,8125
47009,8842
47007,8126
47005,14479
47003,10294
47001,10009
47000,9285
46137,11783
46135,7598
46129,9478
46127,5162
46125,7848
46123,9615
46121,20824
46119,
46117,
46115,8721
46111,
46109,11738
46107,
46105,
46103,7390
46102,28580
46101,5221
46099,6120
46097,
46095,21491
46093,6396
46091,
46089,
46087,6952
46085,14719
46083,4479
46081,8116
46079,4735
46077,
46075,
46073,
46071,16488
46069,
46067,6242
46065,6357
46063,
46061,
46059,
46057,5128
46055,
46053,
46051,5269
46049,
46047,9620
46045,
46043,
46041,17437
46039,
46037,9502
46035,6829
46033,6588
46031,22756
46029,5921
46027,5585
46025,
46023,12463
46021,
46019,6733
46017,29138
46015,6936
46013,5187
46011,4638
46009,5758
46007,17810
46005,7652
46003,
46000,7225
45091,7117
45089,13755
45087,11140
45085,9628
45083,9363
45081,6550
45079,8135
45077,8338
45075,11866
45073,9203
45071,7990
45069,13429
45067,13143
45065,14019
45063,7647
45061,13274
45059,10940
45057,8866
45055,9199
45053,9328
45051,9642
45049,11371
45047,9829
45045,7592
45043,10738
45041,11042
45039,12562
45037,7205
45035,7504
45033,13276
45031,12102
45029,13508
45027,10490
45025,11405
45023,11528
45021,10744
45019,7195
45017,11045
45015,7504
45013,5856
45011,12315
45009,12927
45007,9126
45005,12227
45003,9304
45001,9533
45000,8738
44009,5250
44007,6313
44005,5415
44003,6419
44001,3983
44000,6020
42133,7101
42131,10067
42129,8421
42127,7274
42125,8602
42123,6783
42121,8287
42119,4373
42117,7341
42115,8124
42113,8579
42111,7806
42109,5412
42107,9858
42105,8822
42103,7288
42101,10003
42099,8490
42097,8242
42095,6142
42093,6977
42091,5364
42089,7664
42087,8379
42085,8780
42083,8098
42081,7340
42079,9053
42077,6468
42075,7039
42073,10144
42071,6128
42069,8878
42067,6943
42065,7216
42063,7989
42061,7938
42059,9034
42057,7595
42055,7242
42053,5783
42051,10467
42049,8153
42047,8585
42045,7659
42043,7809
42041,6137
42039,8495
42037,7538
42035,6747
42033,7656
42031,7314
42029,5016
42027,3913
42025,9096
42023,
42021,10187
42019,6831
42017,6388
42015,7496
42013,8290
42011,6695
42009,7622
42007,8891
42005,9745
42003,7960
42001,6519
42000,7573
41071,6051
41069,
41067,4109
41065,7709
41063,
41061,7211
41059,7432
41057,6654
41055,
41053,5754
41051,5835
41049,5719
41047,6240
41045,7735
41043,6762
41041,8154
41039,6308
41037,8551
41035,9170
41033,9222
41031,8304
41029,6985
41027,4266
41025,8763
41023,8732
41021,
41019,8762
41017,4859
41015,7424
41013,7372
41011,8531
41009,6472
41007,7566
41005,5148
41003,4132
41001,8173
41000,5953
40153,8946
40151,9940
40149,11745
40147,8120
40145,7088
40143,8681
40141,11183
40139,8372
40137,9768
40135,11761
40133,12296
40131,7357
40129,
40127,11797
40125,10773
40123,10590
40121,12530
40119,7904
40117,9667
40115,11889
40113,8413
40111,12537
40109,8983
40107,13592
40105,10241
40103,10375
40101,12259
40099,10494
40097,10808
40095,9444
40093,11767
40091,12122
40089,13239
40087,8742
40085,11233
40083,6804
40081,10900
40079,12663
40077,11331
40075,11669
40073,8530
40071,11000
40069,13644
40067,9779
40065,9009
40063,12034
40061,9314
40059,
40057,14123
40055,7630
40053,12451
40051,9060
40049,11528
40047,8696
40045,10740
40043,8913
40041,10042
40039,9042
40037,10827
40035,11184
40033,12215
40031,8804
40029,13485
40027,6893
40025,
40023,12861
40021,10353
40019,10291
