County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_June,Cum_Covid_death_in_July,Cum_Covid_death_in_August
22015,471.36562930925294,0.013842008481830264,7404.0,7.9,276.2931068412063,1397.2087311770401,2507.891277481718,4545.060965530271
22019,569.8821519030331,0.014152580568206636,9983.0,10.1,110.10833874043925,1589.197585481429,2803.8301972118993,5182.956802139248
22055,455.50889226980723,0.016715742155626524,7234.0,8.9,109.25160603952699,853.5537460616229,1615.8598960677607,2881.459961536888
22063,470.29758910658694,0.012488245954217433,9132.0,8.5,95.88817308170383,1344.565271434558,2277.8768227631417,3520.161376243883
22093,530.5615885820664,0.013019019046821245,9974.0,12.0,137.46681835419037,9049.108835798255,13429.0860826697,18259.38566552901
22101,901.9431569484257,0.016299588541764488,9744.0,11.2,164.14039069465835,4291.967252978844,6804.733727810651,10549.566345140633
22103,439.44566256686346,0.01371116844581624,6977.0,9.0,107.13504007004097,4258.521843644281,6488.389864026818,9102.638440359575
22105,695.563360043391,0.0144192125545465,10665.0,12.7,124.6679232401787,1865.5664227726738,2975.7045963875985,4838.302735273602
22109,650.2665276350107,0.01660647637829175,9721.0,9.5,108.63562705389232,3213.8039670109815,5090.484424366971,7573.713799440527
22113,647.0308774084547,0.01503228149843261,8480.0,8.8,117.62531296735058,413.36895699954636,910.7559946900573,2486.935188452555
22115,547.3444517067617,0.01304831221441439,9195.0,8.3,67.46926985599528,463.85123025996756,1298.783444727909,3322.8615404077677
22005,375.84623205930586,0.012638650196423296,6933.0,8.7,116.1100755110423,3164.9868882499763,4705.222583804619,6672.774951818268
22011,539.8734929097358,0.012606543669531718,10539.0,7.7,114.67584073392538,914.739845854335,1733.4720110942208,3701.6294636904286
22023,448.4831101782199,0.013924965907787808,7133.0,6.3,172.0923562311774,0.0,0.0,200.77441560304032
22053,708.3652129558785,0.013319467811926456,10886.0,9.2,137.08237694465697,1641.8005610813568,3162.458556490691,6104.947717419026
22057,552.8826900761255,0.014368825156713394,8413.0,8.0,200.7908701620669,5039.2361751388125,7958.899338209683,11221.75097834327
22073,691.0630585106541,0.014782514923565538,10098.0,9.0,236.17064307569856,1991.7927439505738,3829.6178863379846,6203.067608739619
22079,705.7571269900037,0.015374106957401138,10883.0,7.5,158.89176848080956,1571.1773417252869,3564.266321115636,6498.364803159323
22081,748.6377635631368,0.013928744851293131,12992.0,6.7,201.37408197109687,5733.238569059465,8990.760483297796,14593.698175787727
22089,460.12669063516523,0.012038559343887142,7419.0,10.5,118.64406779661016,6534.839924670432,9425.612052730698,12525.42372881356
22099,694.4895795937326,0.014589081412141101,9841.0,9.8,93.57863412625629,3232.2060227208926,5027.044225262488,7825.045385637551
22111,569.0247874072734,0.01425284242609053,10166.0,8.5,248.77872263434048,5029.853446716121,9041.975755382668,14026.596707074363
22121,537.8630438143001,0.014469130619842525,8587.0,9.2,132.25014169658039,7844.32269034574,11581.333837143397,15953.145664084639
22123,628.7249223537312,0.012706596952726868,10912.0,11.5,193.90581717451525,637.1191135734073,2068.3287165281627,4090.489381348107
22125,400.1214612725404,0.01751461752824462,8675.0,6.7,565.2620760534429,4297.276464542651,7149.280575539568,10682.168550873586
22001,706.7304522377453,0.01494537265803998,9742.0,8.8,104.76267225400919,2449.8347973245222,5001.20880006447,9338.38343138045
22003,584.6106911389621,0.01835396532548089,9683.0,10.9,273.1494127287626,3176.3374565887543,4846.45100870176,8717.36840051508
22007,712.7046814589642,0.014345487622251497,8969.0,11.8,137.04262025489928,3558.540039285551,5929.3773696953085,8820.976657073683
22033,519.9220187210434,0.019730249808708602,9984.0,10.1,104.53143782992736,3636.3305829445594,5674.239136115839,8303.659282050816
22037,537.235432453619,0.01764369999866717,10914.0,8.3,371.04781813430884,9537.496733733995,15014.371570420695,21421.47896524693
22047,623.3414704393757,0.016036855450577373,10157.0,12.0,73.82116821998709,9030.789578911754,13229.368521423517,18018.516809695182
22051,587.5533876218279,0.021514145366519064,8901.0,12.6,107.05375578333059,7834.346451850089,11402.727905422746,15209.957155375925
22059,589.0899323614876,0.014010585194147248,9323.0,5.9,107.44023636852002,20.1450443190975,174.59038409884502,879.6669352672575
22075,470.28024783769064,0.015013945308970622,7542.0,9.2,142.25977497090142,5880.070698797258,8246.756046040437,10785.877484157434
22077,684.3492448646614,0.015256861906740408,10915.0,9.7,161.06764841233317,7100.782328578002,11168.89093419236,16014.726184997699
22085,675.9184543475282,0.014225788506236792,9348.0,6.8,196.7844582147044,138.1678110869201,494.05459721989615,1972.0314855133145
22095,707.3748904409314,0.014003415887629472,10642.0,14.3,60.695193407568226,14634.54490277097,20972.523752830497,27672.339332819756
22119,817.944705268649,0.014123965749904268,11660.0,8.8,307.77256129368806,1335.4199269692228,2308.2942097026603,3641.105894627021
22127,596.0351501203055,0.0147056820349031,11545.0,7.8,237.34177215189874,1582.2784810126584,2790.5638665132333,5106.444188722669
22009,744.9545273379471,0.016353921048012993,11512.0,9.3,241.63013152650458,1636.6082104424074,3093.86209645277,5893.782383419689
22017,740.3479769468678,0.01637692730413975,10847.0,11.2,261.02812609282114,5322.142845248206,8601.022464238731,12473.56413715009
22021,709.2705640800015,0.016768927874203976,11205.0,8.5,70.57874571486187,272.2323049001815,584.7953216374269,1421.6575922565034
22025,578.7387249363234,0.014907327182588302,10576.0,8.7,168.52749104697705,2338.3189382768064,3328.417948177796,5045.2917632188755
22043,642.5233170509869,0.01493197711552557,8679.0,7.8,133.99437223636608,223.3239537272768,598.5081959891018,3448.1218455491535
