County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_July,Cum_Covid_death_in_August,Cum_Covid_death_in_September
30001,20407.008303996343,0.018928066560062542,5051.0,4.4,571.2472231037766,0.0,42.31460911879826,359.6741775097853
30007,17242.567792602,0.012872418523732887,8500.241558457017,7.3,16.0333493666827,0.0,0.0,0.0
30009,17687.76051286584,0.015023848749972802,6990.0,6.7,186.4801864801865,0.0,0.0,0.0
30013,25148.52695586371,0.020850405707749663,7299.0,6.9,411.71988299781236,255.63503183147753,409.2618538455866,593.6140402625175
30015,28923.291604358208,0.020111788855444197,6912.0,4.1,319.4321206743567,0.0,0.0,0.0
30017,24557.9464206316,0.019149939709935004,5894.0,6.5,175.40782318891422,70.1631292755657,613.9273811611998,1140.1508507279425
30021,20954.76079862546,0.014715282057730605,4842.0,8.0,208.98641588296763,0.0,0.0,301.8692673865088
30025,9857.48681497681,0.012476987798312937,8500.241558457017,4.9,421.6444132115249,0.0,0.0,0.0
30027,24215.892339269245,0.016774174026875158,6500.0,4.9,144.79638009049773,0.0,0.0,171.94570135746608
30029,23303.965848610358,0.015225365004481387,6259.0,9.2,500.9344353890912,203.26378051365046,296.7073194227694,670.4814750592451
30031,13008.549011767635,0.016115861316949393,4171.0,6.6,290.12356467483437,86.51274970725484,167.78230246255484,263.90757991506024
30033,16247.726337118149,0.010063934105181891,8500.241558457017,3.0,158.9825119236884,0.0,0.0,0.0
30043,15697.464214489839,0.013263620856886538,5995.0,6.4,310.9401849275837,0.0,0.0,0.0
30045,23030.879983146384,0.011959236796781032,8500.241558457017,4.7,149.47683109118088,0.0,0.0,0.0
30047,36413.56104127308,0.021358089021343955,9607.0,7.2,124.76196729923171,26.265677326154048,128.045176965001,226.54146693807868
30049,21005.13324508007,0.015872497604847664,6903.0,5.9,201.63613319506857,21.603871413757346,96.49729231478281,224.6802627030764
30059,32931.75037394409,0.011394312088770463,8500.241558457017,5.9,483.3512352309345,0.0,0.0,1718.582169709989
30063,21823.818014605597,0.019423545497437713,6134.0,7.3,306.0200668896321,99.49832775919734,149.66555183946488,224.91638795986623
30067,18438.746159928374,0.015103750924286513,7525.0,7.9,150.54799470071057,0.0,0.0,0.0
30069,21396.732014110417,0.010012675787487208,8500.241558457017,4.3,0.0,0.0,0.0,0.0
30071,24934.548157216217,0.01620565410973435,8500.241558457017,6.0,151.74506828528072,0.0,0.0,0.0
30073,33448.95559016485,0.023616230645207573,8215.0,6.6,744.3748942649298,0.0,0.0,0.0
30075,16520.346398528378,0.012535222030798966,8500.241558457017,3.8,1307.9667063020213,0.0,0.0,0.0
30081,29422.90176849995,0.01510021721885334,6658.0,6.4,109.57403095466374,47.93863854266539,164.36104643199562,301.3285851253253
30083,13924.378509200455,0.020979539712155305,7790.0,8.7,583.171341294085,9.256687957048968,546.1445894658891,1101.5458668888273
30091,15260.783758163554,0.01439597331029461,8500.241558457017,5.9,241.76488365064975,0.0,0.0,0.0
30095,15919.6936958654,0.013332047204283696,4106.0,5.6,404.48039825762294,0.0,321.51006015349515,943.7875959344534
30099,28861.35174522847,0.01617487262299059,7706.0,5.1,325.36196518626974,0.0,0.0,0.0
30103,26104.265302802847,0.011900386533836349,8500.241558457017,4.5,0.0,0.0,0.0,0.0
30105,27310.942918206165,0.014563583509884681,8163.0,4.7,676.0411032990805,0.0,0.0,0.0
30107,34749.10929066316,0.021251562509496877,8500.241558457017,7.8,564.4402634054563,0.0,0.0,282.22013170272817
30111,20848.036636004283,0.0189285089467196,7198.0,6.7,463.7321760694358,372.5976441413515,1012.3992560446374,2028.5182889026657
30011,11523.946475527888,0.013432625714079311,8500.241558457017,3.2,479.23322683706067,0.0,0.0,0.0
30019,16125.948506583534,0.01239280641962359,8500.241558457017,2.9,118.34319526627219,0.0,0.0,0.0
30037,25872.34376539886,0.012813596881523224,8500.241558457017,6.4,243.60535931790497,0.0,0.0,0.0
30039,14114.380795566974,0.013170873128253175,8500.241558457017,7.2,236.75643681562593,0.0,0.0,0.0
30055,12765.14076405797,0.01360617183750552,8500.241558457017,3.9,480.7692307692308,0.0,0.0,0.0
30057,17211.67413220919,0.024045934735706695,5491.0,5.5,255.81395348837208,1441.860465116279,1802.325581395349,2151.1627906976746
30065,35495.84821338323,0.017828164230240435,8500.241558457017,7.1,43.16857327865314,0.0,0.0,431.68573278653145
30077,18012.678515909112,0.023892302507142353,6894.0,5.4,72.5689404934688,0.0,0.0,0.0
30079,25552.495644591872,0.011920456378626298,8500.241558457017,7.8,1207.0566388115135,0.0,0.0,0.0
30087,23603.27019490641,0.0218610099798893,14406.0,6.9,962.2915967326843,402.8197381671702,883.9655365335124,4486.964305695424
30089,25961.90444628483,0.016599888583464652,9974.0,7.9,90.81152480805746,0.0,0.0,165.11186328737722
30093,26829.4436444526,0.021805247519863926,8686.0,8.1,211.9432908492052,0.0,0.0,0.0
30097,15622.126313136703,0.011075459442608732,8500.241558457017,4.1,374.63205780037464,267.5943270002676,1097.136740701097,1899.9197217018998
30109,20679.94064235884,0.01908191896424886,8500.241558457017,6.9,1031.9917440660474,0.0,0.0,0.0
30023,32725.757183220976,0.021573483436484953,9949.0,5.6,678.3369803063457,0.0,0.0,0.0
30041,41145.88078272948,0.021788741701385998,9359.0,5.5,558.1169619024508,0.0,303.3244358165494,776.5105556903665
30053,29339.5157066973,0.018671529619680053,8382.0,10.2,220.22022022022023,655.6556556556557,965.9659659659659,1376.3763763763764
30061,36033.797140748415,0.018807886299706263,8500.241558457017,11.2,90.97111667045712,0.0,0.0,0.0
30101,24145.926639883917,0.027184944592688543,10274.0,7.1,1456.9256756756756,14336.993243243243,18264.35810810811,22065.033783783783
30051,38414.25071517193,0.025583057793996146,8500.241558457017,2.8,171.15960633290544,0.0,0.0,0.0
30035,35979.517988792235,0.028743295994438353,17637.0,9.8,1774.158365447539,58.169126735984875,283.57449283792624,501.70871809786956
30005,48370.012817478615,0.028763643211012713,12509.0,4.7,883.1013321359079,0.0,0.0,0.0
30003,33972.333872935225,0.03658288091109161,20451.0,8.2,946.0169682408589,1524.138448832495,4692.5444853217205,9099.78226593588
30085,38278.52502553698,0.02909448076821389,19912.0,7.8,2262.8135223555073,0.0,127.2264631043257,572.5190839694657
