State,CHW_allocation
NEW MEXICO,772102.0
ALABAMA,957115.9999999999
ALASKA,231145.00000000006
ARIZONA,1839932.0
ARKANSAS,830466.9999999999
CALIFORNIA,11847710.999999998
COLORADO,1337804.9999999998
CONNECTICUT,874974.0
DELAWARE,239009.0
FLORIDA,3892552.0
GEORGIA,1928703.000000001
IDAHO,340741.9999999999
ILLINOIS,2987495.999999999
INDIANA,1602975.9999999995
IOWA,699741.0000000003
KANSAS,401103.00000000006
KENTUCKY,1416012.9999999995
LOUISIANA,1585023.9999999998
MAINE,232455.00000000003
MARYLAND,1372695.0
MASSACHUSETTS,1616404.0
MICHIGAN,2439425.0000000005
MINNESOTA,1085777.9999999998
MISSISSIPPI,632427.0000000002
MISSOURI,923641.0000000002
MONTANA,247333.0
NEBRASKA,254158.99999999997
NEVADA,685073.0000000001
NEW HAMPSHIRE,193436.0
NEW JERSEY,1759653.0000000002
NEW YORK,6263164.0
NORTH CAROLINA,1851558.0000000005
NORTH DAKOTA,96757.00000000001
OHIO,2788134.0
OKLAHOMA,797220.0
OREGON,1053931.0
PENNSYLVANIA,3069309.0000000005
RHODE ISLAND,305208.0
SOUTH CAROLINA,1048276.0000000002
SOUTH DAKOTA,114059.0
TENNESSEE,1489536.0000000002
TEXAS,4457644.000000001
UTAH,338812.0
VERMONT,161049.0
VIRGINIA,1497770.000000001
WASHINGTON,1780968.0
WEST VIRGINIA,521289.9999999999
WISCONSIN,1112843.9999999995
WYOMING,59301.99999999999
HAWAII,351337.0
DISTRICT OF COLUMBIA,248591.0
PUERTO RICO,1622194.0
