County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_July,Cum_Covid_death_in_August,Cum_Covid_death_in_September
16001,12895.281641738668,0.019901853323235682,5088.0,5.6,205.36268628513645,549.0181421010119,1163.2373797465464,2034.9386507526158
16017,20317.453376768186,0.019683635898336636,6378.0,7.3,170.5328057019174,0.0,0.0,0.0
16021,17256.022866476113,0.018247341775933342,7105.0,5.3,16.33319722335647,0.0,48.99959167006942,293.9975500204165
16023,18059.299191374663,0.018737634717320654,8500.241558457017,3.3,616.0954948016943,0.0,0.0,0.0
16025,19620.25316455696,0.0152701773552297,8500.241558457017,4.7,1537.0705244122964,0.0,0.0,0.0
16039,20388.208353022426,0.023358016917219875,6581.0,4.7,221.72949002217294,759.6961215513794,1097.7427210933809,1424.8845916178982
16045,25916.519434628975,0.02129329267512259,7216.0,5.8,425.13250883392226,0.0,215.32685512367493,557.6413427561837
16055,16584.488554409556,0.019825521129372817,6043.0,6.8,184.0709246395529,55.52303300602908,446.59830896153824,1036.228779036434
16069,21134.428825975054,0.022676295270390317,7176.0,5.0,193.03108295387054,4961.88873490398,6419.520886953079,8020.688972480697
16085,20567.064606741573,0.01785539610676031,4660.0,6.8,96.55898876404494,140.4494382022472,412.5702247191011,675.9129213483146
16005,22048.10495626822,0.02284522633174035,8050.0,4.9,409.98542274052477,75.16399416909621,145.7725947521866,280.1567055393586
16007,14987.755102040817,0.016925322403534657,7516.0,3.7,65.3061224489796,0.0,0.0,163.26530612244898
16009,24682.727468272748,0.02450412423263227,9613.0,6.5,139.8150139815014,0.0,225.85502258550224,1021.7251021725102
16011,21358.22776697785,0.02103716662506221,8487.0,3.6,519.1087564888595,96.13125120164064,307.62000384525004,895.0887611886095
16013,14226.1413492029,0.02466069281575507,3929.0,8.5,273.66317709917035,2662.786151774467,3470.7441032101124,4252.638894922028
16015,17290.25667220023,0.017090297316795653,8500.241558457017,7.9,76.61856723279274,51.07904482186183,446.941642191291,893.883284382582
16019,20192.0008063026,0.02101878111922152,7227.0,3.7,430.8679511515009,41.15502847256051,188.97717155767583,546.7739497068754
16027,26600.94235780882,0.024930909838036263,6388.0,5.9,218.4042567076646,455.08137951437686,1225.5872333575521,2441.602965425127
16029,14884.69601677149,0.017546688766825556,6707.0,3.2,559.0496156533892,0.0,0.0,0.0
16041,14355.722110118191,0.015035791634257183,9111.0,3.7,475.64139521475926,0.0,0.0,0.0
16043,22444.461409267882,0.022135746822524675,5324.0,3.2,832.1245896633332,0.0,129.7808993052905,755.7828841896328
16051,20899.86943858592,0.01754965460324994,5704.0,3.2,585.8524990793746,40.17274279401426,143.95232834521775,267.8182852934284
16059,20318.923632739505,0.019656062711352784,8349.0,6.0,510.7761305593621,0.0,0.0,0.0
16061,22798.33246482543,0.021958263973064156,8500.241558457017,6.8,625.3256904637832,0.0,0.0,0.0
16071,18803.796071507393,0.01681488110507663,8500.241558457017,5.4,132.42109909512249,0.0,0.0,0.0
16079,23528.95513119081,0.02513467814834106,9640.0,9.3,31.051079024996117,23.28830926874709,1529.265641981059,5511.566526936811
16081,10937.242628891452,0.01658254676158344,3898.0,6.3,444.7372755723934,0.0,0.0,0.0
16083,18874.743893736042,0.021425955694600866,7321.0,5.2,496.09797647275485,2590.9896636662907,3794.9768641082896,5050.760837035843
16087,21424.36727486757,0.02523730726450273,5898.0,5.5,549.3427506376299,519.913674710614,1461.6441043751227,2825.1912889935256
16031,23050.353724511027,0.025653963989382796,8279.0,3.6,674.1573033707865,511.86017478152314,715.771951727008,1315.0228880565958
16035,16480.127912288717,0.028327742636024,9394.0,7.6,376.88442211055275,0.0,0.0,0.0
16037,20069.524913093857,0.020475919726543505,8500.241558457017,3.9,324.44959443800695,0.0,0.0,231.7497103128621
16049,20489.590208195834,0.022736815858584506,8022.0,6.2,785.9842803143937,0.0,0.0,0.0
16057,12999.900269272963,0.028749820558280428,5498.0,5.1,645.7564575645756,0.0,0.0,0.0
16067,21379.343124673225,0.02662985271595838,7450.0,3.8,603.6408574552022,71.29616426636247,365.98697656732736,1259.565568705737
16075,23531.37656047764,0.023296025181145336,8672.0,5.3,534.4244499185837,843.3885850277651,1248.3821134816917,1949.8142039998331
16077,23812.00364535868,0.02377706811061794,7675.0,4.0,781.1482879833355,0.0,0.0,156.2296575966671
16003,15393.572426641824,0.020239803321094943,8500.241558457017,7.3,23.28830926874709,0.0,0.0,791.8025151374011
16047,24876.47407602609,0.027534545276655442,9297.0,3.5,375.5188088806904,92.23268990052046,92.23268990052046,92.23268990052046
16063,27599.701826313827,0.02626692675195731,6293.0,5.1,130.45098770033545,0.0,0.0,0.0
16053,24233.98328690808,0.029650290328445066,7214.0,3.5,315.418646567262,1486.973619531378,2248.893986563985,3047.6814681304277
16073,22380.106571936056,0.029976845787830882,10278.0,5.5,101.49708195889369,8.45809016324114,871.1832868138374,2139.8968113000087
16065,21647.83120755757,0.03192842462632997,3600.0,2.9,1237.8780665046231,0.0,0.0,55.128173002230184
16033,40473.37278106509,0.04581669179407051,8500.241558457017,3.6,591.7159763313609,0.0,0.0,0.0
