County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_June,Cum_Covid_death_in_July,Cum_Covid_death_in_August
48009,176.4399519573143,0.0023689634596286632,8253.0,6.1,187.06886472582718,0.0,0.0,0.0
48011,149.3472081707376,0.00236493235110345,8500.241558457017,4.6,52.994170641229466,0.0,0.0,0.0
48023,199.48703334283272,0.0023022757063935156,11359.0,4.0,85.49444286121403,0.0,0.0,0.0
48031,126.4848637239887,0.002935061369320106,6887.0,4.3,75.43374402816193,268.20886765568684,578.3253708825748,1852.3174922470873
48043,176.02955557970225,0.003669955374596835,8208.0,8.0,86.9281755949147,10.866021949364338,402.0428121264805,1075.7361729870695
48049,305.5432840981119,0.0033534198348831594,9384.0,7.5,287.8723853792521,1426.156771603634,2596.133530530319,4611.240228185083
48053,205.13304575188076,0.0032276483747796098,6882.0,5.4,93.44824005814557,103.83137784238396,431.93853182431735,1088.152839788184
48059,226.89782425850706,0.0026439124786044846,8864.0,6.4,93.23674962346698,523.5602094240838,1004.0880728681059,1671.089435559062
48065,127.32795385512227,0.0021068371235050277,6897.0,5.0,67.49915626054674,0.0,0.0,0.0
48067,307.61219064689385,0.003460245950817278,9286.0,8.8,196.49636981282887,369.6796110037967,696.0634117098514,1588.6231932325318
48077,245.00568670179976,0.002727174444157851,7851.0,6.3,133.70260720084042,0.0,47.75093114315729,343.8067042307325
48083,268.44592716152346,0.003022922096129084,10396.0,8.5,122.32415902140671,0.0,0.0,293.57798165137615
48091,143.19975743453264,0.0032403466348574655,5752.0,7.4,172.84535462105256,351.45222106280687,963.4528100173486,2558.751416371656
48097,240.70846379787895,0.0033093764637700676,8291.0,7.6,169.6681775213903,0.0,31.509804396829626,278.74057735656976
48119,302.1776572705104,0.00312232006455259,13278.0,6.3,37.51641343087601,0.0,0.0,0.0
48143,212.6989128722231,0.003924020707297951,6740.0,6.7,201.41458616328634,208.44067637828468,316.1740596749262,791.6061642231487
48149,170.72803311263027,0.0030644395209208125,6818.0,5.2,319.5770535784739,457.66590389016017,1081.0384281543438,2852.521107867119
48151,213.62449560882982,0.002952469586141887,8500.241558457017,5.4,104.43864229765013,1018.2767624020887,1827.6762402088773,2637.0757180156656
48159,237.16889171434624,0.0029607221059684045,8661.0,6.4,139.86013986013987,0.0,214.45221445221446,1025.6410256410256
48175,183.52762411263325,0.003332485564916134,10024.0,8.7,326.45599373204493,0.0,208.93183598850877,2285.1919561243144
48179,313.94083390793617,0.003850620789744371,9880.0,9.7,187.33436900301564,539.1574522525816,1073.74577355387,1439.2762496573152
48181,231.7643886668642,0.0033779847953761665,8891.0,6.8,191.61307373799667,99.84436026194462,266.4963439344551,641.6468446245559
48183,314.37697805844965,0.004235841215774428,9483.0,9.6,532.4942514825125,334.01912138448506,736.6170478841422,1586.9942313122756
48187,179.09712600057648,0.0031736167342470423,6485.0,7.1,976.3435962288803,7.19221802010225,171.4145294791036,1272.4232380564229
48203,270.46113623728456,0.0034158963053111213,9278.0,9.3,67.61528405932114,2105.0891770468647,3565.579312728202,5195.858939491834
48221,172.28233538276854,0.002985822121495509,7930.0,7.7,150.86871177587074,429.8947163505994,681.342569310384,1406.4857323621497
48223,273.4332865926006,0.0033420638937083774,8563.0,5.8,148.31194045949735,21.5726458850178,37.75213029878115,312.80336533275806
48233,313.6532967462378,0.003132894087296958,9201.0,8.5,210.14423536154362,0.0,95.52010698251982,506.25656700735505
48235,108.90151515151514,0.0026040217945734103,8500.241558457017,7.7,0.0,0.0,0.0,0.0
48241,326.6985484329063,0.0035626612512607847,10143.0,12.3,166.06152720312983,374.3420867460385,602.3248613808438,1733.794928086915
48251,208.26406795909176,0.0031356188894153033,7590.0,7.7,170.0631907039706,149.01858182087057,281.5427404630952,888.4237587946558
48259,129.52786919180207,0.003088394942135913,5513.0,5.9,276.19067698340746,0.0,12.649954670995763,265.649048090911
48277,343.11303329935873,0.0035632479198508026,9637.0,7.8,387.0915983072264,1046.9524057843118,1937.4636474859103,3168.9364006498326
48281,234.95171992465254,0.0031692679117174263,6658.0,6.0,200.67201792047786,0.0,18.667164457718872,588.0156804181445
48307,257.10511932956825,0.0032121742327620747,8464.0,8.2,250.501002004008,0.0,37.5751503006012,425.8517034068136
48337,206.6991440288443,0.003119440421439205,10056.0,7.7,80.7346856393178,358.2601675244727,514.683620950651,832.5764456554648
48343,271.9640708016555,0.0032896129981431874,12482.0,12.4,96.86793671294801,0.0,40.36164029706167,694.2202131094608
48361,284.03367940036367,0.003285734660840306,10658.0,12.1,195.45301932946424,160.67916926471293,431.67538011415417,1419.7323612643293
48363,314.56432840515885,0.003822619279318044,9446.0,8.2,263.79800609818767,469.3548939669053,716.0231594093665,1661.5848436054678
48367,167.96275016574853,0.0028429944469371793,6627.0,6.9,143.47905205839947,28.695810411679894,83.2878399753636,514.424893965481
48373,269.4717313142722,0.004133821601781146,10707.0,9.8,268.7282145152182,0.0,87.62876560278855,909.3918563667166
48381,165.06000951913828,0.003185863480031454,6821.0,5.6,267.22241182749633,283.9238125667148,533.7186757967658,1150.9443552896241
48387,321.50499421563217,0.00321245378464273,11537.0,7.5,41.586958329867755,2595.026199783748,5630.874157864094,8783.16559926807
48395,268.2441138573269,0.0035738576140199926,10509.0,6.9,199.1331849595877,0.0,29.28429190582172,503.6898207801336
48399,297.24367604336425,0.00285447957315389,7076.0,5.9,360.48324240062357,0.0,77.9423226812159,711.2236944660951
