County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Percentile_ranks_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Percentile_ranks_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Percentile_ranks_Covid,Proportional_allocation_to_SVI,SVI,Percentile_ranks_SVI,Proportional_allocation_to_YPLL,YPLL,Percentile_ranks_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Percentile_ranks_Unemployment,Proportional_allocation_to_Unemployment_capita,Unemployment_capita,Percentile_ranks_Unemployment_capita,Proportional_allocation_to_Covid_capita,Covid_capita,Percentile_ranks_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Percentile_ranks_Covid_death_capita
35039,206.08673994550358,15719.763170560032,63.63636363636363,313.4128276065397,40388.89846242397,48.484848484848484,231.07416033721736,149.0,66.66666666666667,221.51101773127098,0.021883490992158364,6.0606060606060606,474.3349008766506,15167.0,96.96969696969697,170.01861938932527,1059,60.60606060606061,304.8060025123541,6.7,57.57575757575758,439.16503344026614,382.82675162508673,75.75757575757575,266.530641727024,156.72773053107576,54.54545454545455
1001,129.84720021563123,9904.408387894193,61.19402985074627,143.874384537668,17727.914206257843,19.402985074626866,212.26145129974955,374.0,76.11940298507463,158.12499184677955,0.012601779878921098,19.402985074626866,139.273181132685,8129.0,7.462686567164179,118.53851039450247,852,64.17910447761194,151.39326494567922,3.4,44.776119402985074,272.3030658248939,669.4231147863752,92.53731343283582,120.94350361333406,144.98201149116684,11.940298507462687
1009,118.58953801823354,9045.703050306465,55.223880597014926,126.95359760694124,15642.968647851252,8.955223880597014,170.26319622974563,300.0,73.13432835820896,158.0446153099632,0.012595374266420758,17.91044776119403,194.2011942599317,11335.0,62.6865671641791,88.90388279587684,639,55.223880597014926,115.77132025257823,2.6,11.194029850746269,211.0327846609763,518.7977726282295,73.13432835820896,167.34134758283145,200.60180541624874,40.298507462686565
1013,66.27451957150332,5055.248834457623,32.83582089552239,210.95675161504548,25993.6694490828,77.61194029850746,48.80878291919375,86.0,29.104477611940297,178.4332371517731,0.014220246599910046,50.74626865671642,246.0281561158023,14360.0,95.5223880597015,80.41697066669299,578,48.507462686567166,262.7118421116199,5.9,86.56716417910448,179.8768742800087,442.20485396955985,52.23880597014925,274.5196602880839,329.0826820238585,89.55223880597015
1015,336.23325906509893,25647.00282981129,91.04477611940298,183.21668085650057,22575.593353999637,53.73134328358209,352.4448161955735,621.0,88.05970149253731,185.18915772130774,0.014758660059429756,53.73134328358209,206.948056944483,12079.0,76.11940298507463,294.3984600877549,2116,88.05970149253731,209.2789250719684,4.7,76.11940298507463,222.35452962473147,546.6308701201531,79.1044776119403,188.7139921209512,226.2224373927204,56.71641791044776
1017,97.88868388348942,7466.695470718683,53.73134328358209,182.22601757338884,22453.525803568544,52.23880597014925,74.3482623536556,131.0,49.25373134328358,175.21080915702228,0.013963435024514857,47.76119402985075,190.3976949105091,11113.0,56.71641791044776,100.03425935874094,719,58.208955223880594,191.46795272541783,4.3,64.17910447761194,160.24306013918482,393.9375714199796,38.80597014925373,230.78754083249584,276.6584471041078,79.1044776119403
1031,127.83406532856718,9750.851668702035,59.701492537313435,151.1882619196438,18629.115564369025,22.388059701492537,152.1017886319061,268.0,67.16417910447761,162.53678276454545,0.012953377797556129,26.865671641791046,140.0612936104933,8175.0,8.955223880597014,90.71256898734225,652,56.71641791044776,124.67680642585348,2.8,18.65671641791045,208.274599362902,512.0171181842497,71.64179104477611,143.4368109606766,171.94604715142717,20.895522388059703
1033,125.43684549594485,9567.99794387453,56.71641791044776,140.56764827320083,17320.464770504754,16.417910447761194,111.23862153676714,196.0,59.701492537313435,136.39325889764086,0.010869868232228923,1.492537313432836,182.37950709280747,10645.0,44.776119402985074,131.33844344179616,944,68.65671641791045,178.10972346550497,4.0,56.71641791044776,144.32659521840063,354.80892815119205,26.865671641791046,169.13166159636225,202.74795894353832,44.776119402985074
1039,92.53798326260866,7058.557874971106,50.74626865671642,154.61987832657846,19051.952481770375,25.37313432835821,154.37196458163604,272.0,70.14925373134328,164.64745631691753,0.01312158804182306,29.850746268656717,195.62322329597706,11418.0,64.17910447761194,69.1474643967931,497,43.28358208955224,133.58229259912872,3.0,25.37313432835821,298.6374307160002,734.1628653944776,95.5223880597015,216.15394558352406,259.116305433345,77.61194029850746
1043,205.6708661922212,15688.041396940931,76.11940298507463,151.990490870847,18727.96461290819,23.880597014925375,152.6693326193386,269.0,68.65671641791045,152.22793521953318,0.012131813628285018,13.432835820895523,174.44698367486762,10182.0,32.83582089552239,137.042761430264,985,70.14925373134328,106.86583407930299,2.4,2.2388059701492535,130.62489676892173,321.1250119377328,16.417910447761194,168.29723568829397,201.74768407983956,41.791044776119406
