County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_July,Cum_Covid_death_in_August,Cum_Covid_death_in_September
37001,19323.457751505823,0.01080631421370145,8078.0,7.9,227.71652242653784,1432.3723224135592,2212.8618539428585,3092.461167253656
37009,18145.05753041944,0.008006654150984777,7387.0,5.6,147.04260559497115,191.15538727346248,305.1134066095651,415.3953608057935
37021,14068.631767557074,0.009515974243812408,7416.0,9.8,156.97324946112232,1061.2923109908074,1838.5013266153885,2822.8384592118414
37023,21258.772172183235,0.01007538097815053,9784.0,7.3,177.93004365364425,1869.9231916892302,2794.9383875780513,3917.7764270321045
37025,13647.766489722942,0.009234795607280032,6642.0,7.8,187.5695878551002,1165.6110102424082,1880.777813197322,2715.601077370145
37027,21906.106257149117,0.008632992186040349,9025.0,8.5,203.21740611842586,395.4829759789725,874.930029935019,1511.3534035873347
37031,15001.51137852115,0.00916327633557098,8751.0,5.9,213.03240107667727,508.11106473018293,726.901098268392,942.8123155758352
37035,18067.577138344477,0.009698701221614262,8343.0,8.6,215.60504164812505,524.5971507543043,1178.9333818026837,2105.282950279221
37037,13703.504767020277,0.009335322177746562,6198.0,5.9,162.48153618906943,4239.290989660266,6489.861689270847,8774.002954209749
37049,16287.60806352128,0.010617404042023288,9835.0,6.9,475.8221639138821,571.7698430570106,1127.8747589069797,2009.0269143030575
37053,12005.186759355978,0.006465739336148902,7122.0,6.4,136.87281633829195,0.0,0.0,97.25173792457588
37055,13191.385879110487,0.007658217815960205,7251.0,8.2,78.35931800372882,324.24545380853306,486.36818071279964,670.1072712043016
37057,18303.909694586808,0.009047028131278927,9019.0,7.4,201.0631887309154,769.6484079017237,1224.2779325692534,1819.1147253429112
37059,16262.895019371703,0.008659961683100757,7772.0,7.7,144.70428978201,651.169304019045,1015.2639686318443,1435.373197031228
37069,18754.394776494224,0.009258404402899269,8298.0,7.3,113.36729568773767,3062.352012628256,4254.861160938509,5566.477721173854
37071,19280.360220728726,0.009106665663070647,9267.0,8.5,263.2176689870796,482.7884148595504,1235.029773436839,2209.514138485452
37077,17485.895802657047,0.009834032258509142,7535.0,6.2,148.90061711033536,2465.1324388266635,4112.965934847708,6493.721357311848
37087,17650.07943257859,0.007412458725897322,9038.0,8.1,78.63022931142385,11.232889901631978,938.7486560649583,2407.0478360639954
37097,14450.018151216133,0.008486766481574844,7527.0,7.9,282.1689053166562,401.52690230245423,710.097576537628,1147.926911103044
37101,17351.281892050694,0.008765321568023794,6765.0,6.9,179.13527818514467,1309.8371540897779,2019.2128557029505,2796.8988100640586
