County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_July,Cum_Covid_death_in_August,Cum_Covid_death_in_September
18003,25717.74911870222,0.013635725981560218,8340.0,12.0,164.5140113736129,2689.17133976098,4138.160132243956,5747.708272365601
18005,18802.570554237343,0.012425257828108167,7586.0,10.6,88.3276238675563,4745.819358073025,6684.252617004262,8832.76238675563
18007,30498.764283754426,0.009041254733199274,6742.0,7.7,45.72473708276177,0.0,0.0,0.0
18009,28270.41576181294,0.009534165019302487,10342.0,13.1,195.6114985541759,1479.8435108011568,2007.144072121109,2602.4834155468616
18013,19447.23748751156,0.008592046707501556,8072.0,11.0,33.1301351709515,768.6191359660747,1106.54651470978,1643.2547044791943
18015,17804.214840993096,0.008559053271922506,6706.0,8.8,88.85817248358592,977.4398973194451,1989.4357506047293,3914.6961544157575
18019,20279.444369636178,0.010771632736495795,9765.0,11.7,209.63297323798412,3780.1558722591335,5246.741390678096,6811.38104174063
18021,25826.59307720388,0.0095643564703985,9548.0,9.8,152.5262154432793,1067.683508102955,1658.7225929456627,2230.69590085796
18023,25226.291920107473,0.013745821403762518,9043.0,9.2,287.04589647828635,876.5702645143368,1456.8350875027006,2904.4106299577147
18025,30594.69010151575,0.010551608433218734,11508.0,10.7,179.635057199584,1049.4469131133592,1342.5356906495226,1626.1699914909711
18029,20659.454123045336,0.008347176474936708,8279.0,11.4,161.75340693113347,4274.333778155203,6148.651380969712,7968.377208944963
18031,22668.269921463634,0.008865255935825682,7816.0,10.8,52.71282804322452,13761.813321284688,17926.126736699425,22553.559998493918
18033,20105.887962484423,0.00922016581069613,7249.0,10.0,179.41345600920067,802.7602070155261,1179.9884991374352,1893.041978148361
18035,25772.188365084603,0.012475708178605955,10785.0,11.4,235.6858106628116,3397.7307574363695,4867.043413501556,6456.38936347308
18037,13698.837116802906,0.009759405910826415,5951.0,7.1,287.8135529764133,973.4181954324224,1991.2953949831524,3243.167353051292
18041,31628.925628263925,0.010844557497233261,13592.0,15.6,77.91533200588694,2895.8531728854646,3895.7666002943465,5475.7163881914985
18043,20462.83600375556,0.009384397126943363,8184.0,10.7,224.14100506864318,5073.737296553832,7166.144520007131,9574.386796057157
18045,24140.223679526644,0.009116759606310264,8543.0,10.0,128.47179738162242,1394.8366572861862,1774.1343447938332,2141.19662302704
18047,18362.0179118471,0.008515733146369605,6213.0,8.4,87.88118463836892,4490.728535020652,7105.193778012128,10532.559978908515
18049,23423.6522087379,0.010055485625263845,9436.0,10.5,145.18874536897968,470.6117953339341,776.0088114548914,1076.3993191148493
18051,18776.758601510344,0.010061362234568112,8673.0,9.0,395.13948720995876,430.7911702664963,796.2209215960071,1170.5635936896522
18055,27627.123791297836,0.011266238332076567,8255.0,9.2,75.18325919428608,8595.952634546707,12229.810162270534,15807.280245598646
18059,12621.037211172323,0.007508121625009023,6290.0,9.2,80.59564015965613,3803.3466380104387,5444.683246341214,7178.129157711595
18061,21613.36276609577,0.009288531227127415,8114.0,10.2,177.71195853387633,5094.409477971122,7044.304578551154,8969.517462668147
18063,11699.628289592409,0.009042711296686016,5516.0,8.6,105.68900423343179,5599.755740967994,7875.005137659929,10281.19146737439
18065,28367.64070909662,0.010652360919339288,9012.0,10.1,298.0905528224798,2278.4124072375553,3585.424831151505,5077.96214458434
18067,26561.594979003083,0.010933737682173952,10930.0,16.8,157.49176196937393,4815.613490986626,7296.714479550301,9680.897460748207
18069,17671.25347403771,0.008597787743748465,7549.0,10.1,169.76998904709748,624.315443592552,881.7086527929902,1128.1489594742607
18071,23203.61352439538,0.011503432066734137,9738.0,11.3,180.86862155501797,639.8227487508761,1123.646311410549,1806.425357780742
18073,20417.5544384898,0.009478686438166324,8596.0,10.5,89.38680650735951,500.5661164412133,685.2988498897563,911.7454263750672
18079,27149.241118066042,0.010456180182642971,12633.0,10.5,57.68884081485487,3313.502794303227,4878.312601406165,6392.6446727961065
18081,16324.420871357,0.00958794650561099,6775.0,9.3,135.30003097991363,7285.337649446472,9778.90457554357,12271.207015369831
18083,31984.506468082396,0.01186552758446538,9720.0,9.3,226.8131387659179,0.0,142.099797781057,776.0835109580806
18085,19352.00170107595,0.012069027787124105,6926.0,9.0,203.88642770841724,526.0773258155457,1073.5501409585179,1790.9283125251713
18089,29373.92792816321,0.015893204981950657,9257.0,15.8,185.17259775115193,4427.870226759191,6345.92053850416,8377.051780355227
18091,27193.36165833942,0.014168347573881553,9595.0,15.6,255.71490972626674,1971.0978450786256,2821.9641817122892,3840.2737332556785
18093,25860.279304727344,0.009290868715046465,8067.0,10.0,112.40908089045625,5395.6358827419,7359.488648886929,9327.749614282566
18095,31258.890454955763,0.012128339841630567,9495.0,12.1,197.5781243970394,5764.4961371933105,7615.247474318702,9590.256928740671
18099,22533.70528655586,0.01295738480450326,6877.0,11.3,175.10484672921442,1059.2762333001858,2579.013359851269,4098.750486402352
18101,21849.201599129574,0.009393252685896414,6864.0,6.6,87.76206728425159,0.0,0.0,0.0
